track_id,seq_order,start_time,end_time
vierratale-seandainya,1,0.626938776,2.484535147
vierratale-seandainya,2,2.484535147,4.388571429
vierratale-seandainya,3,4.388571429,8.219863946
vierratale-seandainya,4,8.219863946,10.216780045
vierratale-seandainya,5,10.216780045,12.167256236
vierratale-seandainya,6,12.167256236,15.905668934
vierratale-seandainya,7,15.905668934,17.925804989
vierratale-seandainya,8,17.925804989,19.760181406
vierratale-seandainya,9,19.760181406,23.568253968
vierratale-seandainya,10,23.568253968,25.518730159
vierratale-seandainya,11,25.518730159,27.422766440
vierratale-seandainya,12,27.422766440,31.230839002
vierratale-seandainya,13,31.230839002,33.227755102
vierratale-seandainya,14,33.227755102,35.085351474
vierratale-seandainya,15,35.085351474,38.939863946
vierratale-seandainya,16,38.939863946,40.820680272
vierratale-seandainya,17,40.820680272,42.724716553
vierratale-seandainya,18,42.724716553,46.556009070
vierratale-seandainya,19,46.556009070,48.506485261
vierratale-seandainya,20,48.506485261,50.503401361
vierratale-seandainya,21,50.503401361,54.265034014
vierratale-seandainya,22,54.265034014,56.261950113
vierratale-seandainya,23,56.261950113,58.165986395
vierratale-seandainya,24,58.165986395,61.997278912
vierratale-seandainya,25,61.997278912,63.808435374
vierratale-seandainya,26,63.808435374,65.712471655
vierratale-seandainya,27,65.712471655,69.845623583
vierratale-seandainya,28,69.845623583,71.424580499
vierratale-seandainya,29,71.424580499,73.328616780
vierratale-seandainya,30,73.328616780,77.252789116
vierratale-seandainya,31,77.252789116,81.060861678
vierratale-seandainya,32,81.060861678,82.964897959
vierratale-seandainya,33,82.964897959,84.845714286
vierratale-seandainya,34,84.845714286,86.819410431
vierratale-seandainya,35,86.819410431,88.700226757
vierratale-seandainya,36,88.700226757,90.581043084
vierratale-seandainya,37,90.581043084,92.554739229
vierratale-seandainya,38,92.554739229,96.362811791
vierratale-seandainya,39,96.362811791,98.266848073
vierratale-seandainya,40,98.266848073,100.170884354
vierratale-seandainya,41,100.170884354,102.237460317
vierratale-seandainya,42,102.237460317,104.002176871
vierratale-seandainya,43,104.002176871,105.929433107
vierratale-seandainya,44,105.929433107,107.856689342
vierratale-seandainya,45,107.856689342,109.783945578
vierratale-seandainya,46,109.783945578,111.734421769
vierratale-seandainya,47,111.734421769,115.496054422
vierratale-seandainya,48,115.496054422,117.446530612
vierratale-seandainya,49,117.446530612,119.350566893
vierratale-seandainya,50,119.350566893,123.181859410
vierratale-seandainya,51,123.181859410,125.062675737
vierratale-seandainya,52,125.062675737,126.966712018
vierratale-seandainya,53,126.966712018,130.821224490
vierratale-seandainya,54,130.821224490,132.725260771
vierratale-seandainya,55,132.725260771,134.652517007
vierratale-seandainya,56,134.652517007,138.460589569
vierratale-seandainya,57,138.460589569,140.411065760
vierratale-seandainya,58,140.411065760,142.338321995
vierratale-seandainya,59,142.338321995,146.169614512
vierratale-seandainya,60,146.169614512,148.050430839
vierratale-seandainya,61,148.050430839,149.931247166
vierratale-seandainya,62,149.931247166,153.832199546
vierratale-seandainya,63,153.832199546,157.663492063
vierratale-seandainya,64,157.663492063,159.567528345
vierratale-seandainya,65,159.567528345,161.494784580
vierratale-seandainya,66,161.494784580,163.398820862
vierratale-seandainya,67,163.398820862,165.465396825
vierratale-seandainya,68,165.465396825,167.183673469
vierratale-seandainya,69,167.183673469,169.157369615
vierratale-seandainya,70,169.157369615,173.035102041
vierratale-seandainya,71,173.035102041,174.869478458
vierratale-seandainya,72,174.869478458,176.750294785
vierratale-seandainya,73,176.750294785,178.723990930
vierratale-seandainya,74,178.723990930,180.628027211
vierratale-seandainya,75,180.628027211,182.578503401
vierratale-seandainya,76,182.578503401,184.459319728
vierratale-seandainya,77,184.459319728,186.340136054
vierratale-seandainya,78,186.340136054,188.290612245
vierratale-seandainya,79,188.290612245,192.075464853
vierratale-seandainya,80,192.075464853,194.095600907
vierratale-seandainya,81,194.095600907,195.953197279
vierratale-seandainya,82,195.953197279,200.527528345
vierratale-seandainya,83,200.527528345,204.591020408
vierratale-seandainya,84,204.591020408,206.657596372
vierratale-seandainya,85,206.657596372,208.399092971
vierratale-seandainya,86,208.399092971,210.372789116
vierratale-seandainya,87,210.372789116,212.253605442
vierratale-seandainya,88,212.253605442,214.134421769
vierratale-seandainya,89,214.134421769,216.084897959
vierratale-seandainya,90,216.084897959,219.892970522
vierratale-seandainya,91,219.892970522,221.820226757
vierratale-seandainya,92,221.820226757,223.701043084
vierratale-seandainya,93,223.701043084,225.628299320
vierratale-seandainya,94,225.628299320,227.509115646
vierratale-seandainya,95,227.509115646,229.436371882
vierratale-seandainya,96,229.436371882,231.363628118
vierratale-seandainya,97,231.363628118,233.314104308
vierratale-seandainya,98,233.314104308,235.218140590
vierratale-seandainya,99,235.218140590,239.026213152
vierratale-seandainya,100,239.026213152,241.023129252
vierratale-seandainya,101,241.023129252,242.811065760
vierratale-seandainya,102,242.811065760,246.712018141
vierratale-seandainya,103,246.712018141,248.569614512
vierratale-seandainya,104,248.569614512,250.589750567
vierratale-seandainya,105,250.589750567, 255.396281179
vierratale-seandainya,106,255.396281179, 265.404000000
vierratale-rasa_ini,1,1.555736961,3.506213152
vierratale-rasa_ini,2,3.506213152,4.411791383
vierratale-rasa_ini,3,4.411791383,5.433469388
